Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,WDS250G2X0C,WD,Black NVMe PCIe M.2 250GB (2018),96,186,6712,https://ssd.userbenchmark.com/SpeedTest/482421/WDS250G2X0C-00L350
SSD,5XM46AA#ABC,HP,EX900 NVMe PCIe M.2 1TB,97,186,91,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB
SSD,MZVPV256HDGL-00000,Samsung,SM951 NVMe PCIe M.2 256GB,98,186,8028,https://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256
SSD,CSSD-N400GBNX500,Corsair,Neutron NX500 NVMe PCIe 400GB,99,185,404,https://ssd.userbenchmark.com/SpeedTest/331636/Neutron-NX500
SSD,,Intel,Optane+ NVMe PCIe 128GB,100,184,189,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
SSD,MZVLW256HEHP,Samsung,PM961 NVMe PCIe M.2 256GB,101,183,66827,https://ssd.userbenchmark.com/SpeedTest/174249/SAMSUNG-MZVLW256HEHP-00000
SSD,ASX6000PNP-512GT-C,Adata,XPG SX6000 Pro NVMe PCIe M.2 512GB,102,183,6178,https://ssd.userbenchmark.com/SpeedTest/594216/ADATA-SX6000PNP
SSD,MZHPV512HDGL-00000,Samsung,SM951 AHCI PCIe M.2 512GB,103,182,4937,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,2YY44AA#ABC,HP,EX900 NVMe PCIe M.2 500GB,104,182,6902,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,MZVLW128,Samsung,PM961 NVMe PCIe M.2 128GB,105,181,7659,https://ssd.userbenchmark.com/SpeedTest/194898/NVMe-SAMSUNG-MZVLW128
SSD,CT250P2SSD8,Crucial,P2 3D NVMe PCIe M.2 250GB,106,176,1272,https://ssd.userbenchmark.com/SpeedTest/1121042/CT250P2SSD8
SSD,RVD400-M22280-256G,Toshiba,OCZ RD400 NVMe PCIe M.2 256GB,107,175,2909,https://ssd.userbenchmark.com/SpeedTest/142093/NVMe-TOSHIBA-RD400
SSD,SKC1000/960G,Kingston,KC1000 NVMe PCIe M.2 960GB,108,175,239,https://ssd.userbenchmark.com/SpeedTest/320126/KINGSTON-SKC1000960G
SSD,PX-256M8PeG,Plextor,M8Pe NVMe PCIe M.2 256GB,109,174,2250,https://ssd.userbenchmark.com/SpeedTest/171701/PLEXTOR-PX-256M8PeG
SSD,MZHPV256HDGL-00000,Samsung,SM951 AHCI PCIe M.2 256GB,110,173,6162,https://ssd.userbenchmark.com/SpeedTest/24782/SAMSUNG-MZHPV256HDGL-00000
