Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80677I57600,Intel,Core i5-7600,150,78.8,31712,https://cpu.userbenchmark.com/Intel-Core-i5-7600/Rating/3890
CPU,YD297XAZAFWOF,AMD,Ryzen TR 2970WX,151,78.7,796,https://cpu.userbenchmark.com/SpeedTest/626249/AMD-Ryzen-Threadripper-2970WX-24-Core-Processor
CPU,,Intel,Xeon W3690,152,78.5,3002,https://cpu.userbenchmark.com/SpeedTest/9677/IntelR-XeonR-CPU-----------W3690----347GHz
CPU,BX80646I74770K,Intel,Core i7-4770K,153,78.5,135512,https://cpu.userbenchmark.com/Intel-Core-i7-4770K/Rating/1537
CPU,,Intel,Core i7-5950HQ,154,78.4,150,https://cpu.userbenchmark.com/SpeedTest/29765/IntelR-CoreTM-i7-5950HQ-CPU---290GHz
CPU,,Intel,Core i7 X 000,155,78.4,92,https://cpu.userbenchmark.com/SpeedTest/2446/IntelR-CoreTM-i7-CPU-------X-000----333GHz
CPU,,Intel,Core i7-5775R,156,78.4,141,https://cpu.userbenchmark.com/SpeedTest/39919/IntelR-CoreTM-i7-5775R-CPU---330GHz
CPU,,Intel,Core i3-10100T,157,78.3,75,https://cpu.userbenchmark.com/SpeedTest/1260090/IntelR-CoreTM-i3-10100T-CPU---300GHz
CPU,,Intel,Xeon E3-1230 v6,158,78.3,363,https://cpu.userbenchmark.com/SpeedTest/268848/IntelR-XeonR-CPU-E3-1230-v6---350GHz
CPU,BX80646I54670K,Intel,Core i5-4670K,159,78.2,114004,https://cpu.userbenchmark.com/Intel-Core-i5-4670K/Rating/1538
CPU,,Intel,Core i7 X 990,160,77.8,2850,https://cpu.userbenchmark.com/SpeedTest/2590/IntelR-CoreTM-i7-CPU-------X-990----347GHz
CPU,100-000000083,AMD,Ryzen 7 4700U,161,77.8,6879,https://cpu.userbenchmark.com/SpeedTest/1105478/AMD-Ryzen-7-4700U-with-Radeon-Graphics
CPU,CL8068403359524,Intel,Core i7-8750H,162,77.7,305211,https://cpu.userbenchmark.com/SpeedTest/470418/IntelR-CoreTM-i7-8750H-CPU---220GHz
CPU,CM8068403362509,Intel,Core i5-8500T,163,77.5,2511,https://cpu.userbenchmark.com/SpeedTest/532888/IntelR-CoreTM-i5-8500T-CPU---210GHz
CPU,BX80646E31276V3,Intel,Xeon E3-1276 v3,164,77.5,226,https://cpu.userbenchmark.com/SpeedTest/25180/IntelR-XeonR-CPU-E3-1276-v3---360GHz
CPU,CL8068403359725,Intel,Core i7-8850H,165,77.5,13406,https://cpu.userbenchmark.com/SpeedTest/485626/IntelR-CoreTM-i7-8850H-CPU---260GHz
CPU,,Intel,Xeon E3-1271 v3,166,77.3,945,https://cpu.userbenchmark.com/SpeedTest/17463/IntelR-XeonR-CPU-E3-1271-v3---360GHz
CPU,BX80637I73770K,Intel,Core i7-3770K,167,77.2,125000,https://cpu.userbenchmark.com/Intel-Core-i7-3770K/Rating/1317
CPU,100-100000284BOX,AMD,Ryzen 3 3100,168,77.1,21977,https://cpu.userbenchmark.com/SpeedTest/1148404/AMD-Ryzen-3-3100-4-Core-Processor
CPU,BX80684I38100,Intel,Core i3-8100,169,77.1,90913,https://cpu.userbenchmark.com/Intel-Core-i3-8100/Rating/3942
CPU,,Intel,Xeon E3-1275 v3,170,77.1,275,https://cpu.userbenchmark.com/SpeedTest/5652/IntelR-XeonR-CPU-E3-1275-v3---350GHz
CPU,CL8068403373614,Intel,Core i5-8400H,171,77.1,850,https://cpu.userbenchmark.com/SpeedTest/524256/IntelR-CoreTM-i5-8400H-CPU---250GHz
CPU,,Intel,Xeon E3-1230 v5,172,77.1,1537,https://cpu.userbenchmark.com/SpeedTest/72554/IntelR-XeonR-CPU-E3-1230-v5---340GHz
CPU,YD2600BBAFBOX,AMD,Ryzen 5 2600,173,77.1,562733,https://cpu.userbenchmark.com/AMD-Ryzen-5-2600/Rating/3955
CPU,BX80701G6600,Intel,Pentium Gold G6600,174,77,2,https://cpu.userbenchmark.com/SpeedTest/1454523/IntelR-PentiumR-Gold-G6600-CPU---420GHz
CPU,BX80619I73930K,Intel,Core i7-3930K,175,77,30523,https://cpu.userbenchmark.com/Intel-Core-i7-3930K/Rating/1487
CPU,YD180XBCAEWOF,AMD,Ryzen 7 1800X,176,77,66030,https://cpu.userbenchmark.com/AMD-Ryzen-7-1800X/Rating/3916
CPU,YD299XAZAFWOF,AMD,Ryzen TR 2990WX,177,77,2335,https://cpu.userbenchmark.com/SpeedTest/560423/AMD-Ryzen-Threadripper-2990WX-32-Core-Processor
CPU,,Intel,Xeon X5690,178,76.8,3008,https://cpu.userbenchmark.com/SpeedTest/16752/IntelR-XeonR-CPU-----------X5690----347GHz
CPU,,Intel,Xeon E3-1270 v3,179,76.7,936,https://cpu.userbenchmark.com/SpeedTest/11395/IntelR-XeonR-CPU-E3-1270-v3---350GHz
CPU,,AMD,Ryzen 7 4800U,180,76.7,708,https://cpu.userbenchmark.com/SpeedTest/1005639/AMD-Ryzen-7-4800U-with-Radeon-Graphics
CPU,BX80637I53570K,Intel,Core i5-3570K,181,76.4,174069,https://cpu.userbenchmark.com/Intel-Core-i5-3570K/Rating/1316
CPU,BX80646I54690,Intel,Core i5-4690,182,76.4,58494,https://cpu.userbenchmark.com/Intel-Core-i5-4690/Rating/2311
CPU,BX80646I74790,Intel,Core i7-4790,183,76.4,210677,https://cpu.userbenchmark.com/Intel-Core-i7-4790/Rating/2293
CPU,YD190XA8AEWOF,AMD,Ryzen TR 1900X,184,76.3,4200,https://cpu.userbenchmark.com/SpeedTest/340638/AMD-Ryzen-Threadripper-1900X-8-Core-Processor
CPU,FH8067703417418,Intel,Core i7-8706G,185,76.3,162,https://cpu.userbenchmark.com/SpeedTest/518066/IntelR-CoreTM-i7-8706G-CPU---310GHz
CPU,YD192XA8AEWOF,AMD,Ryzen TR 1920X,186,76.2,7404,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1920X/Rating/3934
CPU,YD2700BBAFBOX,AMD,Ryzen 7 2700,187,76.2,109011,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700/Rating/3957
CPU,,Intel,Xeon W3680,188,76.2,1501,https://cpu.userbenchmark.com/SpeedTest/12335/IntelR-XeonR-CPU-----------W3680----333GHz
CPU,,Intel,Core i7 980,189,76.2,1901,https://cpu.userbenchmark.com/SpeedTest/3336/IntelR-CoreTM-i7-CPU---------980----333GHz
CPU,BX80677I57600T,Intel,Core i5-7600T,190,76.2,287,https://cpu.userbenchmark.com/SpeedTest/246226/IntelR-CoreTM-i5-7600T-CPU---280GHz
CPU,BX80646E31241V3,Intel,Xeon E3-1241 v3,191,76,2795,https://cpu.userbenchmark.com/SpeedTest/15164/IntelR-XeonR-CPU-E3-1241-v3---350GHz
CPU,BX80662I76700,Intel,Core i7-6700,192,75.9,201423,https://cpu.userbenchmark.com/Intel-Core-i7-6700/Rating/3515
CPU,100-000000084,AMD,Ryzen 5 4500U,193,75.9,9900,https://cpu.userbenchmark.com/SpeedTest/1052299/AMD-Ryzen-5-4500U-with-Radeon-Graphics
CPU,,Intel,Core i7-5850HQ,194,75.8,45,https://cpu.userbenchmark.com/SpeedTest/35099/IntelR-CoreTM-i7-5850HQ-CPU---270GHz
CPU,CM8068403358913,Intel,Core i5-8400T,195,75.8,2457,https://cpu.userbenchmark.com/SpeedTest/475176/IntelR-CoreTM-i5-8400T-CPU---170GHz
CPU,BX80646E31246V3,Intel,Xeon E3-1246 v3,196,75.6,2013,https://cpu.userbenchmark.com/SpeedTest/11023/IntelR-XeonR-CPU-E3-1246-v3---350GHz
